"h_country","nameOfAggr","year","quarter","subGroup","subGroupVal","C_Value","h_name","QI","YQ","isAngelKPI","aggFunc","Value","data_Pts","data_missing","isKPI","pct_missing","isYearAgg","isCountryAgg","qual4Diamond","qual4Stroke Ready","qual4Gold","qual4Platinum","qual4NA","MedianGeg_C","diffFromC","CSoAboveCountry","CSoAboveDiamond","CSoAbovePlatinum","CSoAboveGold","is1stgeqC","is1stGold","is1stPlat","is1stDiam"
"Far away",NA,2016,"Q1",NA,NA,NA,"General","door_to_needle","2016 Q1",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away",NA,2016,"Q4",NA,NA,NA,"General","door_to_needle","2016 Q4",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away",NA,2016,"all",NA,NA,NA,"General","door_to_needle","2016",NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away",NA,2017,"Q1",NA,NA,NA,"General","door_to_needle","2017 Q1",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away",NA,2017,"Q2",NA,NA,NA,"General","door_to_needle","2017 Q2",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away",NA,2017,"Q3",NA,NA,NA,"General","door_to_needle","2017 Q3",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away",NA,2017,"Q4",NA,NA,NA,"General","door_to_needle","2017 Q4",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away",NA,2017,"all",NA,NA,NA,"General","door_to_needle","2017",NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0
"Far away","dnt_leq_60",2018,"Q1",NA,NA,60,"General","door_to_needle","2018 Q1",TRUE,"pct",100,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,40,1,1,1,1,1,0,0,1
"Far away","dnt_leq_60",2018,"Q1","prenotification",NA,60,"General","door_to_needle","2018 Q1",TRUE,"pct",100,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,40,2,2,2,2,0,0,0,0
"Far away","dnt_leq_60",2018,"Q1","imaging_done","FALSE",NA,"General","door_to_needle","2018 Q1",TRUE,"pct",NA,0,0,TRUE,0,FALSE,FALSE,0,1,0,0,0,NA,NA,2,2,2,2,0,0,0,0
"Far away","dnt_leq_60",2018,"Q1","imaging_done","TRUE",60,"General","door_to_needle","2018 Q1",TRUE,"pct",100,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,40,3,3,3,3,0,0,0,0
"Far away","dnt_leq_60",2018,"Q1","stroke_type","intracerebral hemorrhage",NA,"General","door_to_needle","2018 Q1",TRUE,"pct",NA,0,0,TRUE,0,FALSE,FALSE,0,1,0,0,0,NA,NA,3,3,3,3,0,0,0,0
"Far away","dnt_leq_60",2018,"Q1","stroke_type","ischemic",60,"General","door_to_needle","2018 Q1",TRUE,"pct",100,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,40,4,4,4,4,0,0,0,0
"Far away","dnt_leq_60",2018,"Q1","gender","female",44.4,"General","door_to_needle","2018 Q1",TRUE,"pct",100,2,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,55.6,5,5,5,5,0,0,0,0
"Far away","dnt_leq_60",2018,"Q1","gender","male",72.7,"General","door_to_needle","2018 Q1",TRUE,"pct",100,4,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,27.3,6,6,6,6,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1",NA,NA,45,"General","door_to_needle","2018 Q1",TRUE,"pct",50,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,5,7,7,7,7,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1","prenotification",NA,45,"General","door_to_needle","2018 Q1",TRUE,"pct",50,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,5,8,8,8,8,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1","imaging_done","FALSE",NA,"General","door_to_needle","2018 Q1",TRUE,"pct",NA,0,0,TRUE,0,FALSE,FALSE,0,1,0,0,0,NA,NA,8,8,8,8,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1","imaging_done","TRUE",45,"General","door_to_needle","2018 Q1",TRUE,"pct",50,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,5,9,9,9,9,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1","stroke_type","intracerebral hemorrhage",NA,"General","door_to_needle","2018 Q1",TRUE,"pct",NA,0,0,TRUE,0,FALSE,FALSE,0,1,0,0,0,NA,NA,9,9,9,9,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1","stroke_type","ischemic",45,"General","door_to_needle","2018 Q1",TRUE,"pct",50,6,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,5,10,10,10,10,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1","gender","female",33.3,"General","door_to_needle","2018 Q1",TRUE,"pct",50,2,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,1,16.7,11,11,11,11,0,0,0,0
"Far away","dnt_leq_45",2018,"Q1","gender","male",54.5,"General","door_to_needle","2018 Q1",TRUE,"pct",50,4,0,TRUE,0,FALSE,FALSE,1,0,0,0,0,0,-4.5,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1",NA,NA,54,"General","door_to_needle","2018 Q1",FALSE,"median",44,6,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,0,-10,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1","prenotification",NA,54,"General","door_to_needle","2018 Q1",FALSE,"median",44,6,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,0,-10,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1","imaging_done","FALSE",NA,"General","door_to_needle","2018 Q1",FALSE,"median",NA,0,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,NA,NA,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1","imaging_done","TRUE",54,"General","door_to_needle","2018 Q1",FALSE,"median",44,6,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,0,-10,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1","stroke_type","intracerebral hemorrhage",NA,"General","door_to_needle","2018 Q1",FALSE,"median",NA,0,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,NA,NA,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1","stroke_type","ischemic",54,"General","door_to_needle","2018 Q1",FALSE,"median",44,6,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,0,-10,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1","gender","female",65,"General","door_to_needle","2018 Q1",FALSE,"median",44,2,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,0,-21,11,12,12,12,0,0,0,0
"Far away","door_to_needle",2018,"Q1","gender","male",45,"General","door_to_needle","2018 Q1",FALSE,"median",43.5,4,0,TRUE,0,FALSE,FALSE,0,0,0,0,1,0,-1.5,11,12,12,12,0,0,0,0
"Far away","dnt_leq_60",2018,"Q2",NA,NA,66.7,"General","door_to_needle","2018 Q2",TRUE,"pct",66.7,12,1,TRUE,7.7,FALSE,FALSE,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0
"Far away","dnt_leq_60",2018,"Q2","prenotification",NA,66.7,"General","door_to_needle","2018 Q2",TRUE,"pct",66.7,12,1,TRUE,7.7,FALSE,FALSE,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0
"Far away","dnt_leq_60",2018,"Q2","imaging_done","TRUE",66.7,"General","door_to_needle","2018 Q2",TRUE,"pct",66.7,12,1,TRUE,7.7,FALSE,FALSE,0,0,1,0,0,1,0,3,0,0,3,0,0,0,0
"Far away","dnt_leq_60",2018,"Q2","stroke_type","intracerebral hemorrhage",NA,"General","door_to_needle","2018 Q2",TRUE,"pct",NA,0,0,TRUE,0,FALSE,FALSE,0,1,0,0,0,NA,NA,3,0,0,3,0,0,0,0
